batter,h_exit_velo,h_barrel_pct,h_launch_angle,h_sweet_spot_pct,h_hard_hit_pct,h_pull_air_pct,h_hr_rate,h_n_batted,h_hr_contact_score,h_lifted_power_score,h_2026_exit_velo,h_2026_barrel_pct,h_2026_launch_angle,h_2026_sweet_spot_pct,h_2026_hard_hit_pct,h_2026_pull_air_pct,h_2026_hr_rate,h_2026_n_batted,h_2026_hr_contact_score,h_2026_lifted_power_score,h_recent_exit_velo,h_recent_barrel_pct,h_recent_launch_angle,h_recent_sweet_spot_pct,h_recent_hard_hit_pct,h_recent_pull_air_pct,h_recent_hr_rate,h_recent_n_batted,h_recent_hr_contact_score,h_recent_lifted_power_score,h_batter_right,h_zone_contact_pct,h_hr_vs_4seam,h_ev_vs_4seam,h_pa_vs_4seam,h_hr_vs_sinker,h_ev_vs_sinker,h_pa_vs_sinker,h_hr_vs_slider,h_ev_vs_slider,h_pa_vs_slider,h_hr_vs_change,h_ev_vs_change,h_pa_vs_change,h_hr_vs_curve,h_ev_vs_curve,h_pa_vs_curve,h_hr_vs_cutter,h_ev_vs_cutter,h_pa_vs_cutter,h_hr_vs_rhp,h_ev_vs_rhp,h_barrel_pct_vs_rhp,h_hard_hit_pct_vs_rhp,h_launch_angle_vs_rhp,h_sweet_spot_pct_vs_rhp,h_pull_air_pct_vs_rhp,h_n_batted_vs_rhp,h_xwoba_vs_rhp,h_hr_vs_lhp,h_ev_vs_lhp,h_barrel_pct_vs_lhp,h_hard_hit_pct_vs_lhp,h_launch_angle_vs_lhp,h_sweet_spot_pct_vs_lhp,h_pull_air_pct_vs_lhp,h_n_batted_vs_lhp,h_xwoba_vs_lhp,h_hr_contact_score_vs_rhp,h_lifted_power_score_vs_rhp,h_hr_contact_score_vs_lhp,h_lifted_power_score_vs_lhp,h_xwoba_vs_4seam,h_xwoba_vs_sinker,h_xwoba_vs_slider,h_xwoba_vs_change,h_xwoba_vs_curve,h_xwoba_vs_cutter,h_woba_vs_rhp,h_iso_vs_rhp,h_hr_pa_vs_rhp,h_k_pct_vs_rhp,h_woba_vs_lhp,h_iso_vs_lhp,h_hr_pa_vs_lhp,h_k_pct_vs_lhp
455117,79.87062937062937,0.06293706293706294,15.041958041958042,0.32167832167832167,0.22377622377622378,0.1958041958041958,0.027972027972027972,143,0.18636363636363634,0.23570804195804196,,,,,,,,,,,,,,,,,,,,,1.0,0.42560553633217996,0.037037037037037035,82.31111111111112,54.0,0.0,77.5945945945946,37.0,0.05,73.86,20.0,0.0,87.33333333333333,6.0,0.0,84.65,4.0,0.1,77.95,10.0,0.031914893617021274,77.21808510638297,0.06382978723404255,0.20212765957446807,15.393617021276595,0.2553191489361702,0.2127659574468085,94.0,0.3300692793394588,0.02040816326530612,84.95918367346938,0.061224489795918366,0.2653061224489796,14.36734693877551,0.4489795918367347,0.16326530612244897,49.0,0.4491922101668585,0.16914893617021276,0.2209441489361702,0.2193877551020408,0.264030612244898,0.4716443968527052,0.2692516005733397,0.36814285714285716,0.10966666666666668,0.2256086956521739,0.3211674107142857,0.19381818181818183,0.11881188118811878,0.02727272727272727,0.38181818181818183,0.32769230769230767,0.13043478260869568,0.019230769230769232,0.28846153846153844
456781,83.08588235294118,0.0196078431372549,17.96470588235294,0.3137254901960784,0.2196078431372549,0.09803921568627451,0.011764705882352941,255,0.1488235294117647,0.2174264705882353,,,,,,,,,,,,,,,,,,,,,1.0,0.5705705705705706,0.011627906976744186,85.50813953488372,86.0,0.0,85.11020408163265,49.0,0.0,75.44375,32.0,0.0,80.71333333333334,30.0,0.09090909090909091,90.71818181818182,11.0,0.0,85.30952380952381,21.0,0.018691588785046728,81.87009345794392,0.009345794392523364,0.21495327102803738,16.046728971962615,0.2897196261682243,0.1308411214953271,107.0,0.33121687479187484,0.006756756756756757,83.96486486486486,0.02702702702702703,0.22297297297297297,19.35135135135135,0.3310810810810811,0.07432432432432433,148.0,0.27866031144781145,0.14485981308411214,0.1985397196261682,0.15168918918918922,0.2141891891891892,0.27896150696150696,0.32522727272727275,0.23444444444444443,0.226375,0.41575555555555554,0.3377916666666667,0.37,0.12857142857142856,0.02531645569620253,0.189873417721519,0.19663366336633664,0.0625,0.009900990099009901,0.24752475247524752
457705,83.44011142061281,0.04317548746518106,17.091922005571032,0.29526462395543174,0.2576601671309192,0.14345403899721448,0.019498607242339833,718,0.16915041782729806,0.2238509749303621,86.52499999999999,0.08333333333333333,7.75,0.25,0.3333333333333333,0.0,0.08333333333333333,12.0,0.15833333333333333,0.1484375,86.52499999999999,0.08333333333333333,7.75,0.25,0.3333333333333333,0.0,0.08333333333333333,12.0,0.15833333333333333,0.1484375,1.0,0.5886654478976234,0.026022304832713755,85.73866171003718,269.0,0.006666666666666667,84.562,150.0,0.033707865168539325,81.20561797752809,89.0,0.019230769230769232,80.47307692307693,52.0,0.02631578947368421,81.76842105263158,38.0,0.0,78.35625,48.0,0.02071563088512241,83.66214689265536,0.047080979284369114,0.2617702448210923,18.041431261770246,0.2824858757062147,0.1318267419962335,531.0,0.37896847400848266,0.016042780748663103,82.8096256684492,0.03208556149732621,0.24598930481283424,14.39572192513369,0.3315508021390374,0.17647058823529413,187.0,0.37929410809359326,0.16581920903954803,0.22544726930320147,0.1786096256684492,0.2178475935828877,0.3842055057379626,0.41221497854939254,0.4126687054238967,0.37112007087115784,0.30267892190114415,0.40116666666666667,0.29879227053140095,0.13521126760563382,0.026570048309178744,0.20772946859903382,0.31253333333333333,0.12213740458015265,0.02,0.24
457759,82.3006779661017,0.01694915254237288,24.477966101694914,0.29491525423728815,0.1694915254237288,0.10508474576271186,0.010169491525423728,295,0.1345762711864407,0.17137711864406782,,,,,,,,,,,,,,,,,,,,,1.0,0.6115485564304461,0.015748031496062992,82.0771653543307,127.0,0.0,83.07959183673469,49.0,0.02564102564102564,85.59487179487179,39.0,0.0,79.12692307692308,26.0,0.0,78.96666666666667,21.0,0.0,82.78421052631579,19.0,0.0,81.3712,0.0,0.136,32.584,0.256,0.096,125.0,0.22593367346938775,0.01764705882352941,82.98411764705882,0.029411764705882353,0.19411764705882353,18.51764705882353,0.3235294117647059,0.11176470588235295,170.0,0.39793447169550095,0.1104,0.10004999999999997,0.15235294117647058,0.2238235294117647,0.3520213731574023,0.23795238095238094,0.39937279387279384,0.2504375,0.3707777777777778,0.3440649350649351,0.1878048780487805,0.014084507042253502,0.0,0.2073170731707317,0.3238317757009346,0.15463917525773196,0.028037383177570093,0.18691588785046728
467793,82.88267716535434,0.025196850393700787,18.19212598425197,0.2803149606299213,0.25984251968503935,0.18110236220472442,0.01732283464566929,635,0.16708661417322834,0.2213976377952756,86.875,0.0,41.125,0.25,0.375,0.25,0.0,8.0,0.1875,0.11249999999999999,86.875,0.0,41.125,0.25,0.375,0.25,0.0,8.0,0.1875,0.11249999999999999,0.0,0.5957683741648107,0.015625,84.242578125,256.0,0.011764705882352941,87.18823529411765,85.0,0.019230769230769232,80.52307692307691,52.0,0.014084507042253521,81.73380281690142,71.0,0.0,74.90857142857143,35.0,0.02857142857142857,82.44857142857143,70.0,0.015659955257270694,82.96442953020134,0.02237136465324385,0.2595078299776286,17.610738255033556,0.26174496644295303,0.17225950782997762,447.0,0.2875191327484599,0.02127659574468085,82.68829787234043,0.031914893617021274,0.26063829787234044,19.574468085106382,0.324468085106383,0.20212765957446807,188.0,0.3398556455639313,0.15961968680089486,0.21199664429530202,0.1848404255319149,0.2321808510638298,0.2979670853688599,0.3445133686933036,0.33018440656565656,0.28378537360890305,0.26775,0.28703167108753314,0.277874251497006,0.10000000000000003,0.020958083832335328,0.19760479041916168,0.2797385620915033,0.11278195488721804,0.026143790849673203,0.16993464052287582
493329,80.69285714285715,0.0,32.232142857142854,0.21428571428571427,0.16071428571428573,0.10714285714285714,0.0,56,0.10714285714285715,0.09140625000000001,,,,,,,,,,,,,,,,,,,,,1.0,0.532258064516129,0.0,76.12727272727273,22.0,0.0,82.84285714285714,7.0,0.0,91.4125,8.0,0.0,84.49166666666666,12.0,,,,0.0,94.6,1.0,0.0,79.07777777777777,0.0,0.1111111111111111,30.22222222222222,0.2777777777777778,0.0,18.0,0.1742857142857143,0.0,81.4578947368421,0.0,0.18421052631578946,33.18421052631579,0.18421052631578946,0.15789473684210525,38.0,0.17167222222222223,0.09166666666666667,0.10694444444444445,0.11447368421052631,0.08404605263157895,0.23750000000000002,0.1516,0.1940888888888889,0.09966666666666667,,0.116,0.17384615384615382,0.0,0.0,0.3076923076923077,0.1622222222222222,0.04000000000000001,0.0,0.14814814814814814
500743,81.81915887850467,0.02336448598130841,15.560747663551401,0.2850467289719626,0.22897196261682243,0.16355140186915887,0.016355140186915886,428,0.15794392523364487,0.20531542056074764,90.0529411764706,0.0,4.705882352941177,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.0,17.0,0.15801470588235306,0.052205882352941185,90.0529411764706,0.0,4.705882352941177,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.0,17.0,0.15801470588235306,0.052205882352941185,1.0,0.5911504424778761,0.013793103448275862,83.49862068965517,145.0,0.011111111111111112,85.16555555555556,90.0,0.05357142857142857,79.37321428571428,56.0,0.0,80.175,40.0,0.06666666666666667,85.70666666666666,15.0,0.0,77.58,35.0,0.004132231404958678,80.85909090909091,0.012396694214876033,0.23140495867768596,10.061983471074381,0.2644628099173554,0.16115702479338842,242.0,0.3010189930352369,0.03225806451612903,83.06827956989248,0.03763440860215054,0.22580645161290322,22.71505376344086,0.3118279569892473,0.16666666666666666,186.0,0.3353272969064945,0.14896694214876033,0.15947830578512398,0.1696236559139785,0.2060147849462366,0.30322254340131644,0.3140579418091249,0.37674061760985533,0.35122666233484945,0.2516276276276276,0.23521739130434782,0.27056994818652846,0.06741573033707865,0.0051813471502590676,0.15025906735751296,0.3832592592592593,0.2314049586776859,0.044444444444444446,0.11851851851851852
502054,85.0325,0.038461538461538464,9.61923076923077,0.2826923076923077,0.3,0.10576923076923077,0.019230769230769232,520,0.16528846153846155,0.16560096153846154,,,,,,,,,,,,,,,,,,,,,1.0,0.55331088664422,0.026845637583892617,87.69328859060403,149.0,0.007692307692307693,86.55153846153847,130.0,0.025,83.5575,80.0,0.0,84.49142857142857,35.0,0.0,82.36521739130436,23.0,0.05,85.6075,40.0,0.01881720430107527,85.41827956989246,0.04032258064516129,0.30376344086021506,9.225806451612904,0.26881720430107525,0.10483870967741936,372.0,0.34131724729355645,0.02027027027027027,84.06283783783783,0.033783783783783786,0.2905405405405405,10.608108108108109,0.31756756756756754,0.10810810810810811,148.0,0.39898875627261055,0.16303763440860217,0.1596774193548387,0.17094594594594595,0.18048986486486485,0.4426180845712691,0.3251969516209316,0.3498111629846486,0.32851731601731604,0.2434375,0.3774612892345642,0.3095121951219512,0.13103448275862067,0.021341463414634148,0.21341463414634146,0.2813934426229508,0.10784313725490197,0.02459016393442623,0.19672131147540983
502671,85.10958005249344,0.04068241469816273,22.979002624671917,0.33989501312335957,0.2795275590551181,0.13385826771653545,0.013123359580052493,762,0.18188976377952756,0.20923556430446194,89.85,0.0,27.3,0.2,0.5,0.3,0.0,10.0,0.23312499999999994,0.14687499999999998,89.85,0.0,27.3,0.2,0.5,0.3,0.0,10.0,0.23312499999999994,0.14687499999999998,1.0,0.576303317535545,0.018726591760299626,85.63220973782771,267.0,0.018518518518518517,85.1104938271605,162.0,0.012658227848101266,84.62025316455696,79.0,0.0,83.75757575757575,66.0,0.038461538461538464,86.83461538461538,26.0,0.0,85.84520547945205,73.0,0.005671077504725898,83.72400756143668,0.02835538752362949,0.23251417769376181,23.134215500945178,0.3005671077504726,0.10586011342155009,529.0,0.33318354748217704,0.030042918454935622,88.25536480686695,0.06866952789699571,0.38626609442060084,22.626609442060087,0.4291845493562232,0.19742489270386265,233.0,0.4834096625573564,0.15274102079395085,0.1867202268431002,0.2512607296137339,0.26035407725321885,0.3870059653043239,0.37470109027777776,0.4320116677330189,0.4382347132507517,0.4010820624546115,0.4126075345399886,0.2663806970509383,0.08092485549132947,0.00804289544235925,0.2225201072386059,0.3919662921348314,0.22012578616352202,0.03932584269662921,0.11797752808988764
506702,85.47777777777777,0.0,28.703703703703702,0.25925925925925924,0.25925925925925924,0.18518518518518517,0.037037037037037035,27,0.1537037037037037,0.1386574074074074,87.17999999999999,0.0,37.8,0.4,0.4,0.2,0.0,10.0,0.22000000000000003,0.15,87.17999999999999,0.0,37.8,0.4,0.4,0.2,0.0,10.0,0.22000000000000003,0.15,0.0,0.575,0.0,84.13333333333334,12.0,0.0,81.08571428571429,7.0,0.0,89.6,2.0,0.0,87.3,1.0,0.0,73.9,1.0,0.0,99.5,2.0,0.05,86.595,0.0,0.3,35.05,0.25,0.2,20.0,0.28269090909090905,0.0,82.28571428571429,0.0,0.14285714285714285,10.571428571428571,0.2857142857142857,0.14285714285714285,7.0,0.16644444444444448,0.1625,0.105,0.12857142857142856,0.1607142857142857,0.2211666666666667,0.19066666666666665,,0.082,,,0.2775,0.30000000000000004,0.08333333333333333,0.25,0.176,0.0,0.0,0.2
